,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
5044,Domino's Pizza,,"Pizza, Fast Food",3.0,,"Carrer Sepulveda, 38","Carrer de Sepúlveda, 08015 Barcelona, Spain",41.3803469,2.1586871
5045,Tra.Llers,,"Spanish, Mediterranean, European",3.0,,"Carrer Tallers, 39-41","Carrer Tallers, 08570 Torelló, Spain",42.0489229,2.2741805
5046,Restaurante BJ,,"Breakfast, Lunch, Dinner, Brunch, Drinks",3.0,,"Llull, 13","Carrer de Llull, 13, 08005 Barcelona, Spain",41.3912829,2.1887254
5047,Chun,,"Chinese, Japanese, Sushi, Asian",3.0,,Carrer Buenos Aires 12,"Carrer Buenos Aires, 08395 Sant Pol de Mar, Spain",41.6030343,2.6242583
5048,Black Velvet Bar,,€3 - €30,4.5,,Nou de la Rambla 130,"Nou de la Rambla, Avinguda del Paral·lel, 08001 Barcelona, Spain",41.3750759,2.1702821
5049,Bolet - Cuina Feta,,,3.0,,"Passeig Reina Elisenda de Montcada, 10","Montcada i Reixac, Catalonia, Spain",41.48333,2.18333
5050,Pans & Company,,Fast Food,3.0,,"Travessera de gracia, 29","Farmàcia Santaló, Travessera de Gràcia, 23, 29, 08036 Barcelona, Spain",41.394748,2.1468139
5051,Fish Corner,,"Seafood, Mediterranean, Spanish",3.0,,Centro Comercial Les Glories,"Glòries, Catalonia, Spain",41.4031,2.18699
5052,Wan Li Yuan,,Chinese,3.0,,122 Carrer de Viladomat,"Carrer de Viladomat, 122, 08015 Barcelona, Spain",41.3809229,2.1560693
5053,Restaurante Campo,,Chinese,2.0,,"Londres, 22","Londres, Carrer de Mallorca, 532, 8025 Barcelona, Spain",41.4083463,2.1821202
5054,Burger King,,Fast Food,3.0,,"Calle Salvador Espriu, 61","Carrer d'en Salvador Espriu, 08461 Santa Maria de Palautordera, Spain",41.6941754,2.4339404
5055,Atrium,,"Mediterranean, European, Spanish",3.0,,"Rambla de Poblenou, 142","Rambla del Poblenou, 08018 Barcelona, Spain",41.403432,2.1980044
5056,Meat Corner,,"Mediterranean, European, Spanish",3.0,,"Avinguda Diagonal, 208","Glòries Multicines, Avinguda Diagonal, 208, 08018 Barcelona, Spain",41.4053714,2.1928801
5057,El Chiringuio Group Barcelona Beach Playa de Sant Sebastian,,€10 - €30,3.0,,Ronda litoral,"Ronda Litoral, 08080 Barcelona, Spain",41.33944,2.1173709
5058,Atame,,,3.0,,"Carrer del Consell de Cent, 257","Atame, Carrer del Consell de Cent, 257, 08011 Barcelona, Spain",41.3869204,2.1599135
5059,Bodega Del Fuegos,,€3 - €100,4.5,,"Vilardell, n0 3","Vilardell, la Quar, Catalonia, Spain",42.0941893,1.9977589
5060,Sinner,,"Mediterranean, Spanish",3.0,,C/ Tuset 3,"Carrer de Tuset, Enerside Energy, 3, 08006 Barcelona, Spain",41.3955245,2.1521109
5061,PaTapas,,"Mediterranean, Spanish",3.0,,Pl San Josep Oriel 2,"Catalonia, Spain",41.66667,2.0
5062,La Fitora,,€30 - €50,3.0,,"Moll de Gregal, 18 - 19","Moll de Gregal, 08071 Barcelona, Spain",41.3881704,2.2008832
5063,Cal Tony,,"Breakfast, Lunch, Dinner",2.0,,Carrer De Castanys 25,"Catalonia, Spain",41.66667,2.0
5064,Viridi,,€7 - €10,3.0,,"Calle Galileo, 337","Galileo, Carrer d'Aribau, 152, 08036 Barcelona, Spain",41.3921399,2.1545275
5065,Paris 182 Pizza House,,,3.0,,"Carrer de Paris, 182","Carrer de París, 182, 08036 Barcelona, Spain",41.3934231,2.1533225
5066,Boca Loco,,,3.0,,13 av. Francesc Ferre i Guardia,"Catalonia, Spain",41.66667,2.0
5067,Al-legra,,"Wine Bar, Spanish",4.0,,"192, Ronda Del Guinardo","Ronda del Guinardó, 08025 Barcelona, Spain",41.4122063,2.1672319
5068,La Base by Farre,,"Seafood, Mediterranean, Spanish, European",3.0,,Platja Mar Bella. Avda Del Litoral,"Catalonia, Spain",41.66667,2.0
5069,Rodica's Restaurant & Bar,,,2.5,,"Carrer De Sardenya, 551","Carrer de Sardenya, 08025 Barcelona, Spain",41.4085761,2.1664852
5070,Restaurante La Cartuja,,"Mediterranean, European, Spanish",3.0,,"Calle Larrard, 37","Carrer de Larrard, 08024 Barcelona, Spain",41.4123123,2.1539978
5071,+Bernat,,Mediterranean,3.5,,"Buenos Aires 6-8, 08029","08029, Spain",41.3888,2.159
5072,La Muralla,,Spanish,2.5,,"Carrer d'Avinyo, 19","La Muralla, Carrer d'Avinyó, 19, 08002 Barcelona, Spain",41.3810423,2.1770783
